latitude,longitude,prr_percent,dli_avg,drr_percent,baseline_power_mwh,achieved_power_mwh,power_ratio_percent
42.73,-79.14,88.0965510136616,19.999999800000147,99.99999900000074,8516.312143248842,7502.577271759875,88.0965510136616
42.65,-79.14,87.39197002300794,19.999999800000186,99.99999900000093,8580.59973051654,7498.7551442873155,87.39197002300794
42.53,-79.14,93.43581506644259,19.999999800000623,99.99999900000311,8941.504831824506,8354.567918820574,93.43581506644259
42.45,-79.14,93.28147387779309,19.99999980000004,99.9999990000002,9009.711353095292,8404.391542302143,93.28147387779309
42.37,-79.14,95.36866945856339,19.999999800000296,99.99999900000148,9143.346710926444,8719.888102193867,95.36866945856339
42.29,-79.14,94.8961739329738,19.99999980000005,99.99999900000024,9135.37381865857,8669.120228381587,94.8961739329738
42.17,-79.14,94.13205490444331,19.999999800000225,99.99999900000113,9025.323309569592,8495.722293067567,94.13205490444331
42.09,-79.14,93.38532403647373,19.99999980000021,99.99999900000105,8897.652394200672,8309.10151996336,93.38532403647373
42.01,-79.14,93.54496654715051,19.999999800000232,99.99999900000117,8901.777409298033,8327.164699629646,93.54496654715051
43.45,-79.06,92.48737372961394,19.99999980000011,99.99999900000056,8942.549787590868,8270.729443005965,92.48737372961394
43.37,-79.06,92.29963304680675,19.99999980000008,99.9999990000004,8911.736837380357,8225.50039899917,92.29963304680675
43.29,-79.06,90.08864116357844,19.99999980000015,99.99999900000076,8853.287509393578,7975.806415517492,90.08864116357844
43.17,-79.06,91.00058869686018,19.999999800000126,99.99999900000063,8871.777422791542,8073.369682615433,91.00058869686018
43.09,-79.06,86.96336700825736,19.999999800000246,99.99999900000122,8540.058801111076,7426.722677931209,86.96336700825736
42.73,-79.06,87.3075596180791,19.999999800000104,99.99999900000051,8553.691373971715,7468.019195876845,87.3075596180791
42.65,-79.06,89.13854798854086,19.999999800000577,99.99999900000289,8668.461051295868,7726.940314077341,89.13854798854086
42.53,-79.06,92.7089558717975,19.999999800000246,99.99999900000122,8933.176874548084,8281.855006574402,92.7089558717975
42.45,-79.06,94.2539939695641,19.99999980000014,99.9999990000007,9054.203504757937,8533.948425366609,94.2539939695641
42.37,-79.06,95.58796888234362,19.999999800000143,99.99999900000071,9102.972484857906,8701.346506194277,95.58796888234362
42.29,-79.06,95.55134404597678,19.999999800000115,99.99999900000057,9102.419234465115,8697.483919230926,95.55134404597678
42.17,-79.06,94.35115105702047,19.99999980000004,99.9999990000002,9002.11474508085,8493.598881457545,94.35115105702047
42.09,-79.06,93.20455735829097,19.999999800000058,99.9999990000003,8955.551983861356,8346.982585549624,93.20455735829097
42.01,-79.06,92.75110862943315,19.99999980000009,99.99999900000046,8930.267391148333,8282.922008862835,92.75110862943315
43.53,-78.94,92.21106923954683,19.99999980000018,99.9999990000009,8959.769756605661,8261.899493967623,92.21106923954683
