latitude,longitude,dli_target_found,dli_avg,drr_percent
41.01,-73.18,21.8359375,21.83593728164083,99.99999900000094
40.77,-72.98,21.97265625,21.97265603027351,99.99999900000033
40.93,-73.18,21.8359375,21.835937281640756,99.9999990000006
41.09,-72.02,21.8359375,21.835937281641353,99.99999900000334
41.21,-71.86,21.42578125,21.42578103574241,99.99999900000104
40.65,-73.18,21.8359375,21.83593728164088,99.99999900000117
40.77,-73.9,21.8359375,21.83593728164092,99.99999900000135
40.65,-73.5,21.8359375,21.83593728164083,99.99999900000094
40.77,-73.66,22.109375,22.109374778906528,99.99999900000127
41.13,-72.14,22.109375,22.109374778906382,99.9999990000006
40.77,-73.86,21.69921875,21.69921853300788,99.9999990000003
41.21,-72.34,21.42578125,21.425781035742677,99.99999900000228
40.97,-73.38,21.8359375,21.83593728164087,99.99999900000113
40.61,-73.74,22.109375,22.109374778907018,99.99999900000347
40.65,-72.94,21.5625,21.56249978437513,99.9999990000006
41.09,-72.58,22.109375,22.1093747789064,99.99999900000067
41.13,-71.86,22.109375,22.109374778906584,99.99999900000151
40.93,-73.74,21.42578125,21.425781035742286,99.99999900000046
40.69,-73.78,21.97265625,21.972656030273555,99.99999900000054
40.93,-73.34,21.69921875,21.699218533007908,99.99999900000044
41.25,-73.78,21.5625,21.562499784375206,99.99999900000095
40.65,-73.54,21.97265625,21.972656030273683,99.99999900000111
40.89,-73.66,21.5625,21.56249978437507,99.99999900000033
40.57,-73.7,22.109375,22.109374778906314,99.9999990000003
40.77,-73.94,21.8359375,21.83593728164073,99.99999900000049
41.05,-71.98,22.3828125,22.382812276172018,99.99999900000064
40.69,-73.74,21.97265625,21.97265603027357,99.9999990000006
40.89,-73.54,21.97265625,21.972656030273615,99.9999990000008
40.61,-73.42,22.109375,22.10937477890651,99.99999900000117
40.85,-73.42,22.3828125,22.38281227617191,99.99999900000016
40.93,-72.62,21.97265625,21.972656030273843,99.99999900000185
41.01,-73.7,21.2890625,21.28906228710951,99.99999900000063
40.77,-73.1,22.109375,22.109374778906357,99.99999900000049
41.05,-72.02,21.97265625,21.972656030273537,99.99999900000046
40.69,-73.54,21.97265625,21.972656030273452,99.99999900000006
41.01,-72.5,22.3828125,22.38281227617197,99.99999900000041
41.21,-71.94,21.69921875,21.69921853300796,99.99999900000068
41.05,-72.26,22.24609375,22.246093527539124,99.99999900000027
41.29,-71.98,21.42578125,21.425781035742332,99.99999900000067
41.09,-71.82,22.109375,22.10937477890705,99.99999900000361
40.89,-73.18,22.109375,22.109374778906467,99.99999900000098
40.89,-73.82,21.69921875,21.69921853300796,99.99999900000068
40.65,-73.7,22.24609375,22.246093527539326,99.99999900000118
40.85,-72.5,21.97265625,21.97265603027364,99.99999900000093
40.89,-73.58,21.8359375,21.835937281640618,99.99999899999997
40.77,-72.98,21.97265625,21.97265603027351,99.99999900000033
41.13,-72.3,21.97265625,21.97265603027365,99.99999900000097
41.05,-73.78,21.97265625,21.97265603027353,99.99999900000041
40.65,-73.34,21.8359375,21.835937281640735,99.9999990000005
40.89,-72.7,21.97265625,21.97265603027357,99.9999990000006
40.77,-72.78,21.8359375,21.835937281640675,99.99999900000023
40.65,-73.46,21.69921875,21.699218533008114,99.9999990000014
40.85,-73.9,21.8359375,21.835937281640824,99.99999900000091
41.05,-71.86,22.109375,22.109374778906467,99.99999900000098
41.01,-72.3,22.24609375,22.246093527539294,99.99999900000104
41.21,-72.22,21.8359375,21.835937281640966,99.99999900000157
40.77,-73.42,22.109375,22.109374778906783,99.99999900000242
40.69,-73.9,21.8359375,21.835937281640852,99.99999900000104
41.29,-73.66,21.2890625,21.289062287109477,99.99999900000049
40.57,-73.66,21.8359375,21.8359372816409,99.99999900000125
40.69,-73.18,21.69921875,21.699218533007844,99.99999900000014
41.01,-72.46,25.1171875,25.11718724882811,99.99999899999995
40.93,-72.58,21.8359375,21.835937281640962,99.99999900000155
40.77,-72.7,21.8359375,21.835937281640675,99.99999900000023
41.01,-73.06,21.8359375,21.835937281641012,99.99999900000176
40.61,-74.02,22.109375,22.109374778906652,99.99999900000182
40.85,-72.74,22.24609375,22.246093527539077,99.99999900000006
